Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6673828363418579,100,100,100,0.6673828363418579,0.6100924176929479,0.8566898271578498,0.8713063763608087,0.37399866488651534,0.7526158445440957,0.5233535688940704
valid,1,0.765049159526825,100,100,100,0.765049159526825,0.662296235299761,0.8826505573366983,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,2,0.6398157477378845,100,100,100,0.6398157477378845,0.6602156138428716,0.8772112450687878,0.88545169244564,0.6592122830440588,0.6180866965620329,0.7557638906396433
valid,2,0.7089487314224243,100,100,100,0.7089487314224243,0.676126052301272,0.8889219539316494,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,3,0.6327401399612427,100,100,100,0.6327401399612427,0.6775482032844988,0.8861702967673669,0.8871035058430717,0.7094459279038718,0.5956651718983558,0.7883902027770452
valid,3,0.801171064376831,100,100,100,0.801171064376831,0.6875274817521166,0.8879705255729183,0.9217391304347826,0.07076101468624833,0.9730538922155688,0.13143211274890276
train,4,0.6361971497535706,100,100,100,0.6361971497535706,0.669485946383918,0.877824212188816,0.8853704876504117,0.6999332443257676,0.594170403587444,0.7818063143898784
valid,4,0.7217488288879395,100,100,100,0.7217488288879395,0.6853988951336313,0.89150301053854,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,5,0.6229111552238464,100,100,100,0.6229111552238464,0.6855489057657345,0.8829713503197298,0.8876885446392173,0.7268024032042724,0.5881913303437967,0.7992292114196281
valid,5,0.7140658497810364,100,100,100,0.7140658497810364,0.6845294724303063,0.8904186169765196,0.8875598086124402,0.7429906542056075,0.5778443113772455,0.808866274109073
train,6,0.6158770322799683,100,100,100,0.6158770322799683,0.6903175958577557,0.885350872874003,0.8869944488501189,0.7466622162883845,0.5739910313901345,0.8108010098973513
valid,6,0.6741450428962708,100,100,100,0.6741450428962708,0.6947646762549666,0.8943126279617277,0.8879173290937997,0.7456608811748998,0.5778443113772455,0.8105950603499634
train,7,0.6131678819656372,100,100,100,0.6131678819656372,0.7016624432975906,0.890774981791838,0.8893549031356102,0.7431575433911882,0.585949177877429,0.809709968674066
valid,7,0.6632435917854309,100,100,100,0.6632435917854309,0.6965814699039836,0.8927563758354895,0.8846441947565543,0.7883845126835781,0.5389221556886228,0.8337451415043742
train,8,0.6103161573410034,100,100,100,0.6103161573410034,0.7058243826846358,0.8918899402424658,0.8886337543053962,0.7750333778371161,0.5650224215246636,0.8279550672286972
valid,8,0.6995538473129272,100,100,100,0.6995538473129272,0.7131084959586835,0.9007557529804966,0.8892331525948877,0.7663551401869159,0.5718562874251497,0.8232341291257863
