AbAgIPA-Twins,AbAgIPA-Paddle,SGPPI-Twins,SGPPI-Paddle,AbAgInterPre
0.753413719,0.716131152,0.656390828,0.673398186,0.705505163
0.750571907,0.724955662,0.707536417,0.692501445,0.713706833
0.760004384,0.698682821,0.685911564,0.680157623,0.714242871
0.740220494,0.715049207,0.680833926,0.675356563,0.693347617
0.742259293,0.722165051,0.694704725,0.692901318,0.689320583
