Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.13488902151584625,0.5308780140198794,0.889983814657659,0.8878580072609923,0.989658273381295,0.0176678445229682,0.9359982939728114
valid,1,,,,,0.18363608419895172,0.6152639105070675,0.7223872784912418,0.8868525896414342,1.0,0.0,0.9400337788017636
test,1,,,,,0.4296708106994629,0.4081246103239955,0.6633816727933246,0.6668970283344852,1.0,0.0,0.8001658326789389
train,2,,,,,0.11648593097925186,0.6442368190253451,0.8829700548140671,0.8885094415427882,0.9943794964028777,0.019434628975265017,0.9384680620643966
valid,2,,,,,0.12012413889169693,0.633739544183339,0.7223861529320774,0.8874700718276137,0.9991015274034142,0.007042253521126761,0.9399830888467541
test,2,,,,,0.25166794657707214,0.4206595467933696,0.6633845659983213,0.6653886371558034,0.989119170984456,0.004149377593360996,0.7955824081941345
train,3,,,,,0.10786674171686172,0.710731944479752,0.89432166761544,0.8902291917973462,0.9955035971223022,0.0353356890459364,0.9399278235021041
valid,3,,,,,0.11995084583759308,0.6359920529466105,0.7223863723710043,0.8868525896414342,1.0,0.0,0.9400337788017636
test,3,,,,,0.27646467089653015,0.4251878507084041,0.6633889153507376,0.6660851360781577,0.989119170984456,0.007261410788381743,0.7960800619127109
train,4,,,,,0.10289714485406876,0.7556129566311615,0.883385980463083,0.8930016181229773,0.9925809352517986,0.06537102473498234,0.9401618348776588
valid,4,,,,,0.12425648421049118,0.6095820204244333,0.7223861529320774,0.8868525896414342,1.0,0.0,0.9400337788017636
test,4,,,,,0.3035295307636261,0.43249333519661176,0.6633846939351837,0.6664345403899722,0.9917098445595854,0.006224066390041493,0.7971678419229389
train,5,,,,,0.10220175236463547,0.7642566159086865,0.8832456073735485,0.8945336313757366,0.989658273381295,0.08303886925795052,0.9396947329783755
valid,5,,,,,0.14500729739665985,0.6179656555686319,0.7223861529320774,0.8915343915343915,0.9083557951482479,0.13380281690140844,0.8998664836519721
test,5,,,,,0.2846795320510864,0.4155483413239309,0.6633847263445847,0.6545866364665912,0.8984455958549222,0.0508298755186722,0.7573706000588538
train,6,,,,,0.09209900349378586,0.821032043623052,0.8809340253128648,0.9012043274137579,0.9925809352517986,0.14487632508833923,0.944688130242196
valid,6,,,,,0.13401678204536438,0.6135428925755793,0.7223861529320774,0.8881737731295254,0.9919137466307277,0.02112676056338028,0.9371816588522351
test,6,,,,,0.3805542290210724,0.4128894072624858,0.6633855547284098,0.664683234161708,0.9839378238341969,0.006224066390041493,0.7933987835727105
train,7,,,,,0.08659207075834274,0.8424322600223708,0.8841017526226391,0.9127363390816539,0.9876348920863309,0.2579505300353357,0.9487096375949604
valid,7,,,,,0.13313646614551544,0.6318603444566772,0.7223861529320774,0.8939779474130619,0.9469901168014375,0.11971830985915492,0.9197207628924531
test,7,,,,,0.29407164454460144,0.4406039709328575,0.6633859650429446,0.6617275027105168,0.9487046632124352,0.029045643153526972,0.7796465780840456
train,8,,,,,0.08389192819595337,0.8564866966850547,0.8875772503267767,0.9164222873900293,0.9835881294964028,0.2950530035335689,0.9488180388145329
valid,8,,,,,0.14405757188796997,0.6218252913708666,0.7223865020730897,0.8970976253298153,0.9164420485175202,0.176056338028169,0.9066666616672356
test,8,,,,,0.35045358538627625,0.4240881581493346,0.6633851515330906,0.6529171311780008,0.9103626943005181,0.03112033195020747,0.7604414580224235
train,9,,,,,0.07371443510055542,0.8961708283549839,0.8851586235359529,0.9272380144251167,0.9826888489208633,0.39399293286219084,0.9541584756852886
valid,9,,,,,0.14800739288330078,0.6276780177922884,0.7223861529320774,0.900352733686067,0.917340521114106,0.20422535211267606,0.9087672402162801
test,9,,,,,0.4043429493904114,0.4230685507277535,0.6633840715463099,0.6597900832428519,0.944559585492228,0.024896265560165973,0.7769017637490477
train,10,,,,,0.0718955248594284,0.8989024328240588,0.8831429093659289,0.9299403747870528,0.9817895683453237,0.41872791519434627,0.9551618497718319
valid,10,,,,,0.14968572556972504,0.6081457297242574,0.7223861529320774,0.896404109589041,0.9407008086253369,0.14788732394366197,0.9180184079796716
test,10,,,,,0.44252637028694153,0.4121312858770666,0.6633820776951553,0.6602357984994641,0.9575129533678757,0.013485477178423237,0.7815605788017418
train,11,,,,,0.06110064685344696,0.93186638851463,0.884848734487699,0.9394589952769429,0.9838129496402878,0.5017667844522968,0.9611245282774232
valid,11,,,,,0.16018062829971313,0.630227908330486,0.7223861529320774,0.900359066427289,0.9011680143755616,0.21830985915492956,0.900763353778627
test,11,,,,,0.46534138917922974,0.4414948509018984,0.6633843825429322,0.6574545454545454,0.9367875647668393,0.022821576763485476,0.7726495678030717
train,12,,,,,0.053469933569431305,0.9495302609502505,0.8874426547962373,0.9498044328552803,0.9826888489208633,0.5918727915194346,0.9659668458301771
valid,12,,,,,0.2102547287940979,0.6103666021284943,0.7223861529320774,0.908284023668639,0.8274932614555256,0.34507042253521125,0.8660084576342452
test,12,,,,,0.5551403164863586,0.4599469503149657,0.6633810236372194,0.6561572700296736,0.916580310880829,0.038381742738589214,0.7648076043026792
train,13,,,,,0.0528317429125309,0.9524457730635278,0.879744818248604,0.9537888742882172,0.979091726618705,0.627208480565371,0.9662746788260177
valid,13,,,,,0.20413918793201447,0.5652974450476443,0.7223935096355926,0.8936355710549259,0.9209344115004492,0.14084507042253522,0.9070796410188308
test,13,,,,,0.643648624420166,0.44807768795820524,0.6633975566013385,0.6588277858176556,0.9435233160621762,0.021784232365145227,0.7758841025289517
train,14,,,,,0.04262411594390869,0.967967697396853,0.8865731304338056,0.9620114185331576,0.9849370503597122,0.6943462897526502,0.9733392529433729
valid,14,,,,,0.19104301929473877,0.629193399390051,0.722389781988532,0.8926788685524126,0.9640610961365679,0.09154929577464789,0.9269978351801763
test,14,,,,,0.6930704712867737,0.4521402618622751,0.6629371781503397,0.6594306049822064,0.9601036269430052,0.007261410788381743,0.7818565352567253
train,15,,,,,0.03580312430858612,0.9791223116912829,0.8837582243764113,0.9689991142604074,0.9838129496402878,0.7526501766784452,0.9763498388200111
valid,15,,,,,0.2216249257326126,0.5904451868443364,0.7223911682844706,0.890818858560794,0.967654986522911,0.07042253521126761,0.9276485738199161
test,15,,,,,0.7001213431358337,0.4659527981424548,0.6634643969692222,0.6589119541875448,0.9538860103626943,0.011410788381742738,0.7794242119327076
train,16,,,,,0.03126872330904007,0.9844663580089992,0.8901273993844431,0.9707964601769912,0.9865107913669064,0.7667844522968198,0.9785905391573251
valid,16,,,,,0.2316388040781021,0.6037830758133708,0.7224047449933793,0.8912685337726524,0.97214734950584,0.07042253521126761,0.9299527238448297
test,16,,,,,0.7909522652626038,0.4512098768086342,0.6624753116524451,0.658554044380816,0.9533678756476683,0.01037344398340249,0.7790008419073053
train,17,,,,,0.021663950756192207,0.9924756749370822,0.8850431027320043,0.9815185927410376,0.9910071942446043,0.8533568904593639,0.9862400665964911
valid,17,,,,,0.26300814747810364,0.6183516191488554,0.7223861529320774,0.9047619047619048,0.8535489667565139,0.29577464788732394,0.8784096112779358
test,17,,,,,0.7590903043746948,0.4674136800464387,0.6640488557992776,0.6506769825918762,0.8715025906735752,0.06327800829875518,0.745071977386514
train,18,,,,,0.02641509845852852,0.9877846397793426,0.8902410829252432,0.9794688685561259,0.9867356115107914,0.8374558303886925,0.983088806737105
valid,18,,,,,0.24952611327171326,0.6200568189008263,0.7224148618905832,0.9005281690140845,0.9191374663072777,0.20422535211267606,0.9097376561832707
test,18,,,,,0.8141443133354187,0.45896711672005674,0.6637563056615413,0.6486995853750471,0.8917098445595855,0.03319502074688797,0.7510364341381828
train,19,,,,,0.016547061502933502,0.9958634682360119,0.8845540141913975,0.9868244752121483,0.9934802158273381,0.8957597173144877,0.9901411556543251
valid,19,,,,,0.3191395401954651,0.623647545651266,0.7231983589457829,0.8885191347753744,0.9595687331536388,0.056338028169014086,0.9226781807525304
test,19,,,,,1.0368880033493042,0.44515861157095865,0.6633041571346634,0.6519337016574586,0.917098445595855,0.01970954356846473,0.7621097906218128
train,20,,,,,0.01430270541459322,0.997245357424308,0.8860417391761468,0.9888118147236519,0.9934802158273381,0.911660777385159,0.9911405131115003
valid,20,,,,,0.34900543093681335,0.6104140566670464,0.7244839116324163,0.8896051571313457,0.9919137466307277,0.035211267605633804,0.9379779049553103
test,20,,,,,1.133620023727417,0.4771260185324533,0.6625624288946017,0.6636171710063336,0.9772020725388602,0.008298755186721992,0.7904442533552983
train,21,,,,,0.010884183458983898,0.9985184114192746,0.8842086983292368,0.9919264409060328,0.9943794964028777,0.9363957597173145,0.9931514489126606
valid,21,,,,,0.41129061579704285,0.5990218037786468,0.7330985932752766,0.8882544861337683,0.9784366576819407,0.035211267605633804,0.9311671604669927
test,21,,,,,1.2393908500671387,0.4630001289961946,0.6639975474955744,0.6556842867487328,0.9383419689119171,0.013485477178423237,0.7719522543217529
train,22,,,,,0.005221785511821508,0.9998307890789842,0.8839285229989702,0.9970799640610961,0.997976618705036,0.9770318021201413,0.9975280848876414
valid,22,,,,,0.36299219727516174,0.6204427824810498,0.7225694293341217,0.9077669902912622,0.8400718778077269,0.33098591549295775,0.8726084877746493
test,22,,,,,1.0579307079315186,0.45902382129727176,0.6631005277940837,0.6414643851969757,0.8352331606217617,0.06535269709543569,0.725635826731375
train,23,,,,,0.011305786669254303,0.9977732478328292,0.8944371568381142,0.9921489457155676,0.9943794964028777,0.9381625441696113,0.993262963785095
valid,23,,,,,0.36400744318962097,0.6005593308277337,0.725078546955523,0.8977072310405644,0.9146451033243486,0.18309859154929578,0.9060970132469878
test,23,,,,,1.1427332162857056,0.4720153505471588,0.6643577690132642,0.6560509554140127,0.9072538860103627,0.04771784232365145,0.7614698798866576
train,24,,,,,0.01830367185175419,0.9938976822075908,0.8872186129483188,0.9903435885919605,0.9914568345323741,0.9240282685512368,0.9908998938877671
valid,24,,,,,0.35431039333343506,0.6062317300026574,0.7223946560035155,0.90927624872579,0.8014375561545373,0.3732394366197183,0.8519579701870127
test,24,,,,,0.8915951251983643,0.46119310730333457,0.6633043922048081,0.6396468699839486,0.8259067357512954,0.06846473029045644,0.7209407458722588
train,25,,,,,0.005671198479831219,0.9996468814347815,0.8899245675381753,0.9964069166853806,0.9975269784172662,0.9717314487632509,0.9969666279625902
valid,25,,,,,0.35206174850463867,0.6114137656125431,0.7255216318199892,0.8941574936494496,0.9487870619946092,0.11971830985915492,0.9206625930863463
test,25,,,,,1.2057154178619385,0.4595263689721153,0.6640425863133693,0.6483679525222552,0.9056994818652849,0.016597510373443983,0.7557284862741449
train,26,,,,,0.0020541478879749775,0.9999320773063527,0.8867123433944324,0.9995504607777028,0.9997751798561151,0.9964664310954063,0.9996628026879849
valid,26,,,,,0.3725182116031647,0.6191520190324337,0.7273199781078832,0.8973481608212147,0.9424977538185085,0.15492957746478872,0.9193689695867096
test,26,,,,,1.2457369565963745,0.45926273299937653,0.6615435766172377,0.6442271530650621,0.8875647668393782,0.01867219917012448,0.7465678748385352
train,27,,,,,0.005088537931442261,0.9996492646871903,0.8870006743081109,0.9966299707930802,0.9973021582733813,0.9734982332155477,0.996965946230476
valid,27,,,,,0.39243802428245544,0.6176081647115397,0.7305385690118305,0.8960138648180243,0.9290206648697215,0.15492957746478872,0.9122187863558481
test,27,,,,,1.330227017402649,0.45112925418700145,0.6605956038758991,0.6442417331812998,0.8782383419689119,0.029045643153526972,0.743258052561653
train,28,,,,,0.0012611758429557085,0.9999590875003178,0.8928588260014655,1.0,0.9997751798561151,1.0,0.9998875722906129
valid,28,,,,,0.5329346656799316,0.5964687496045455,0.7952954388523265,0.8897893030794165,0.9865229110512129,0.04225352112676056,0.9356625429468219
test,28,,,,,1.642595648765564,0.46245350762152515,0.6594327015571733,0.6584845250800427,0.9590673575129534,0.004149377593360996,0.780847917551901
train,29,,,,,0.004247891716659069,0.999595641507995,0.8848392511295262,0.9973039766344641,0.997976618705036,0.9787985865724381,0.9976401792903703
valid,29,,,,,0.4426470398902893,0.6178232919529757,0.7601270298573246,0.8959731543624161,0.9595687331536388,0.1267605633802817,0.9266811229885197
test,29,,,,,1.4954357147216797,0.4599542063509126,0.6607573742198602,0.6479135618479881,0.9010362694300518,0.01970954356846473,0.7537927996415426
train,30,,,,,0.0017225822666659951,0.9999336661412919,0.8937287273788064,0.9991013255448213,0.9997751798561151,0.9929328621908127,0.9994381341167553
valid,30,,,,,0.4387114942073822,0.6130398744669274,0.7437009594043321,0.9013961605584643,0.9281221922731356,0.20422535211267606,0.9145639613578621
test,30,,,,,1.4490426778793335,0.44815427944875624,0.6602385620741504,0.6440742143127604,0.8813471502590674,0.024896265560165973,0.7442572692404213
train,31,,,,,0.0017851687734946609,0.9999130112870834,0.8912885923108614,0.9995502586013042,0.9993255395683454,0.9964664310954063,0.9994378814530637
valid,31,,,,,0.4451866149902344,0.6115751110436203,0.7341611170576612,0.9051959890610757,0.8921832884097035,0.2676056338028169,0.8986425289369138
test,31,,,,,1.3872536420822144,0.4605964999032528,0.6600668636501309,0.639751552795031,0.8538860103626943,0.03734439834024896,0.7314691473442225
train,32,,,,,0.004029539413750172,0.9995332797366347,0.8902838405592062,0.9977543229283629,0.9988758992805755,0.9823321554770318,0.9983147910903285
valid,32,,,,,0.47110515832901,0.6131569289953558,0.7680285556564153,0.8951817413355875,0.9514824797843666,0.1267605633802817,0.9224738626004665
test,32,,,,,1.5861499309539795,0.4616153010986176,0.6612501378697162,0.6465997770345596,0.9015544041450777,0.013485477178423237,0.753083743242073
train,33,,,,,0.000745536875911057,0.9999610735439917,0.8839801842831625,0.9997752303888514,1.0,0.9982332155477032,0.9998875975626617
valid,33,,,,,0.4494832456111908,0.6130904926413829,0.7541729604207354,0.8987889273356401,0.9335130278526504,0.176056338028169,0.9158219429965071
test,33,,,,,1.5670039653778076,0.4633172446412831,0.6611699802677464,0.6461824953445066,0.8989637305699482,0.014522821576763486,0.7518959864664311
train,34,,,,,0.0028585148975253105,0.9997285078297786,0.8935282996463534,0.9982018431108114,0.9984262589928058,0.9858657243816255,0.9983140334399236
valid,34,,,,,0.46639499068260193,0.6089999114181948,0.763623749413275,0.8959931798806479,0.9442946990116802,0.14084507042253522,0.9195100562457893
test,34,,,,,1.6251280307769775,0.4618813557500054,0.6588354886325998,0.6471243042671614,0.9036269430051813,0.013485477178423237,0.7541621572989571
train,35,,,,,0.0010244303848594427,0.9999503489081527,0.883773900081239,0.9997751293006522,0.9995503597122302,0.9982332155477032,0.9996627268718382
valid,35,,,,,0.5559710264205933,0.6045550029738178,0.8001584573584074,0.8907148726376335,0.9739442946990117,0.06338028169014084,0.9304720980142535
test,35,,,,,1.8259599208831787,0.46174913465052775,0.6591496073531071,0.6536231884057971,0.9347150259067357,0.008298755186721992,0.7692963704231206
train,36,,,,,0.0015142649644985795,0.9999757702671784,0.890263632090968,0.9993253879019564,0.9991007194244604,0.9946996466431095,0.999213036034289
