AbAgIPA-PaddleT,SGPPI-PaddelT,AbAgIPA-Paddle,SGPPI-Paddle
0.806171224,0.711510922,0.745103894,0.729360152
0.732822201,0.636652909,0.700448206,0.665189747
0.714581299,0.69822876,0.72487915,0.730423584
0.710388755,0.695117391,0.691826954,0.685800924
0.675571014,0.57656344,0.664951534,0.606077267
