AbAgIPA-PaddleT,SGPPI-PaddleT,AbAgIPA-Paddle,SGPPI-Paddle
0.852139989,0.747013837,0.812809907,0.765924615
0.770982002,0.643744368,0.692302586,0.680937397
0.773317339,0.696879619,0.795871607,0.753793364
0.775323044,0.702719006,0.770470016,0.705476942
0.73785802,0.585459378,0.730182465,0.619599679
