Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.7015919089317322,100,100,100,0.7015919089317322,0.5160603881816174,0.5110476648897906,0.505664263645726,0.5965978128797084,0.41676792223572295,0.5473801511098373
valid,1,0.6952100396156311,100,100,100,0.6952100396156311,0.5390669584620569,0.5613294100868698,0.5012009607686149,0.47032306536438767,0.531930879038317,0.4852713128345082
train,2,0.6571600437164307,100,100,100,0.6571600437164307,0.6437286918338224,0.6336688428827698,0.5973813420621932,0.5913325232887808,0.6014580801944107,0.5943415378456416
valid,2,0.6570872068405151,100,100,100,0.6570872068405151,0.665570364215514,0.6442452042646851,0.6060371517027864,0.5882794891059354,0.6175807663410969,0.5970263007578726
train,3,0.5703211426734924,100,100,100,0.5703211426734924,0.7714882034186242,0.7824571309866539,0.7025599349857782,0.7002835155933577,0.7035236938031592,0.7014198732961593
valid,3,0.7510701417922974,100,100,100,0.7510701417922974,0.6858186085604729,0.7090252867315683,0.7983870967741935,0.2975206611570248,0.9248685199098422,0.4334975329902105
train,4,0.5173349380493164,100,100,100,0.5173349380493164,0.8176098895645822,0.840406665776422,0.7541684480547243,0.7144592952612394,0.7671121911705143,0.7337770332732062
valid,4,0.6143903732299805,100,100,100,0.6143903732299805,0.7485734332602716,0.782830158329733,0.8246225319396051,0.5334335086401202,0.8865514650638617,0.6478102142079735
train,5,0.4829820990562439,100,100,100,0.4829820990562439,0.8403127907150325,0.8651790953305296,0.804986642920748,0.7322802754151478,0.8226002430133658,0.7669140989348324
valid,5,0.6619051098823547,100,100,100,0.6619051098823547,0.7665095923877303,0.7975758206982384,0.8277511961722488,0.5199098422238918,0.8918106686701728,0.6386709689572476
train,6,0.45783713459968567,100,100,100,0.45783713459968567,0.8543935894603001,0.8818868806863084,0.8197386210004507,0.736735520453625,0.8379910895099231,0.7760238857992022
valid,6,0.6838787794113159,100,100,100,0.6838787794113159,0.7658336348564909,0.7972654708361934,0.8840361445783133,0.44102178812922616,0.9421487603305785,0.5884711735037645
train,7,0.4453819990158081,100,100,100,0.4453819990158081,0.8618652579962371,0.890810807949263,0.8362708719851577,0.7302551640340219,0.8570271364925071,0.7796756706985757
valid,7,0.5801306366920471,100,100,100,0.5801306366920471,0.7908530950952297,0.8176887125959775,0.8067226890756303,0.6491359879789632,0.8444778362133734,0.7194004946422632
train,8,0.4206071197986603,100,100,100,0.4206071197986603,0.8675675582570164,0.9004125905097731,0.8724319159101768,0.7395706763872013,0.8918590522478737,0.8005260800843818
valid,8,0.588352620601654,100,100,100,0.588352620601654,0.7811046303232009,0.8262305368808596,0.7754927163667523,0.6799398948159279,0.8031555221637866,0.7245796587525362
