Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.670366644859314,100,100,100,0.670366644859314,0.6122926959720372,0.8662519732022027,0.8819252077562327,0.4249958284665443,0.7453323375653472,0.5735840514607471
valid,1,1.063190221786499,100,100,100,1.063190221786499,0.4759659459058257,0.8033188594845304,1.0,0.004676018704074816,1.0,0.009308510545646008
train,2,0.6446350812911987,100,100,100,0.6446350812911987,0.6543134029781073,0.8739687164222298,0.8867049469964664,0.6699482729851494,0.6168782673637042,0.7632354289910628
valid,2,1.035367488861084,100,100,100,1.035367488861084,0.6392103526372064,0.8712306145101443,1.0,0.004676018704074816,1.0,0.009308510545646008
train,3,0.6436986923217773,100,100,100,0.6436986923217773,0.6553408650645071,0.8739478076665754,0.8844905905256327,0.6822960120140164,0.6011949215832711,0.7703466416544834
valid,3,0.9117873311042786,100,100,100,0.9117873311042786,0.6636917478600846,0.8772316823947537,1.0,0.004676018704074816,1.0,0.009308510545646008
train,4,0.6392179131507874,100,100,100,0.6392179131507874,0.660546091425807,0.8734207538783907,0.8867025683512841,0.7143333889537794,0.5914861837191935,0.7912392520582318
valid,4,0.7748281955718994,100,100,100,0.7748281955718994,0.6632945570821323,0.8774659445204226,0.8858560794044665,0.7154308617234469,0.5855855855855856,0.7915742744357945
train,5,0.6375511288642883,100,100,100,0.6375511288642883,0.6618878360327527,0.8749047926669318,0.886170642943793,0.7313532454530285,0.5795369678864825,0.8013529523545165
valid,5,0.7461170554161072,100,100,100,0.7461170554161072,0.6676476075273671,0.8827277167027978,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,6,0.6374411582946777,100,100,100,0.6374411582946777,0.6635395638949948,0.8770872638153295,0.8874643874643875,0.7276822960120141,0.5870052277819268,0.7996699317868079
valid,6,0.6474384069442749,100,100,100,0.6474384069442749,0.6760578213484024,0.888384367551263,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,7,0.6346710324287415,100,100,100,0.6346710324287415,0.661121382962722,0.8784515416993951,0.8869617224880383,0.7423660937760721,0.5765496639283048,0.8082477922961688
valid,7,0.7480699419975281,100,100,100,0.7480699419975281,0.6743336522895641,0.8892664458346298,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,8,0.6366298794746399,100,100,100,0.6366298794746399,0.6663777643496702,0.8794022508118078,0.8869321592955773,0.7395294510261973,0.5780433159073936,0.8065514054141335
valid,8,0.6679277420043945,100,100,100,0.6679277420043945,0.6730698634506249,0.8846636049490788,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,9,0.6395235657691956,100,100,100,0.6395235657691956,0.660115230277993,0.876923100213834,0.8869617224880383,0.7423660937760721,0.5765496639283048,0.8082477922961688
valid,9,0.6946003437042236,100,100,100,0.6946003437042236,0.6765182015683018,0.8903194340337255,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,10,0.6395703554153442,100,100,100,0.6395703554153442,0.6658989258940011,0.8806925734901326,0.8867924528301887,0.7371933922910062,0.578790141896938,0.8051025007371899
valid,10,0.6868640780448914,100,100,100,0.6868640780448914,0.6790728604355859,0.8910282578563788,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,11,0.6331042051315308,100,100,100,0.6331042051315308,0.6618004176393495,0.8750306494842285,0.8867811501597445,0.7410312030702486,0.5765496639283048,0.807381142208524
valid,11,0.730935275554657,100,100,100,0.730935275554657,0.6785161915422436,0.888729271773219,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,12,0.6356976628303528,100,100,100,0.6356976628303528,0.6610391361492565,0.8742779479381906,0.886939182452642,0.7421992324378441,0.5765496639283048,0.8081395299231876
valid,12,0.7033910751342773,100,100,100,0.7033910751342773,0.6756726666546307,0.8876953206897065,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,13,0.6390332579612732,100,100,100,0.6390332579612732,0.664646032768875,0.8789876213009856,0.8869617224880383,0.7423660937760721,0.5765496639283048,0.8082477922961688
valid,13,0.6986026167869568,100,100,100,0.6986026167869568,0.678042772231149,0.8887296417559021,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,14,0.6393815875053406,100,100,100,0.6393815875053406,0.6633541347155449,0.8786341208034674,0.8867320392235342,0.7393625896879693,0.5772964899178491,0.8063694217926595
valid,14,0.6993188858032227,100,100,100,0.6993188858032227,0.6725081795222076,0.8869734754419203,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,15,0.6386086344718933,100,100,100,0.6386086344718933,0.6632194867125911,0.8774571846802016,0.886939182452642,0.7421992324378441,0.5765496639283048,0.8081395299231876
valid,15,0.7114068269729614,100,100,100,0.7114068269729614,0.6770788824897043,0.8902061533209888,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,16,0.6350624561309814,100,100,100,0.6350624561309814,0.6661533302420163,0.8790325518480174,0.8869617224880383,0.7423660937760721,0.5765496639283048,0.8082477922961688
valid,16,0.7009776830673218,100,100,100,0.7009776830673218,0.6810457752341519,0.8912003988577512,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,17,0.635262668132782,100,100,100,0.635262668132782,0.6671879577704982,0.8767399811427969,0.8869617224880383,0.7423660937760721,0.5765496639283048,0.8082477922961688
valid,17,0.7017265558242798,100,100,100,0.7017265558242798,0.6738812961257851,0.8857883304895734,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
