Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.23588107526302338,0.6388756258968111,0.8744789779759647,0.8867798867798867,0.44442590120160214,0.7458893871449925,0.5921067215109683
valid,1,,,,,0.2203979343175888,0.6971191129090284,0.8999300376335646,0.8964927288280582,0.6995994659546061,0.6377245508982036,0.785901757355803
test,1,,,,,0.2203979343175888,0.6971191129090284,0.8999300376335646,0.8964927288280582,0.6995994659546061,0.6377245508982036,0.785901757355803
train,2,,,,,0.20667493343353271,0.6869811218146368,0.8946152339655369,0.8999689344516931,0.48347797062750336,0.7593423019431988,0.6290305024556619
valid,2,,,,,0.24696452915668488,0.7019658946459552,0.9007483326802224,0.906392694063927,0.5300400534045394,0.7544910179640718,0.6689132219649688
test,2,,,,,0.24696452915668488,0.7019658946459552,0.9007483326802224,0.906392694063927,0.5300400534045394,0.7544910179640718,0.6689132219649688
train,3,,,,,0.19924990832805634,0.7134680445876016,0.906096529923127,0.9114450127877238,0.4758010680907877,0.7929745889387145,0.6252192937387042
valid,3,,,,,0.24277427792549133,0.7092250745504984,0.9045417925326665,0.9130952380952381,0.5120160213618158,0.781437125748503,0.6561163341471037
test,3,,,,,0.24277427792549133,0.7092250745504984,0.9045417925326665,0.9130952380952381,0.5120160213618158,0.781437125748503,0.6561163341471037
train,4,,,,,0.19620296359062195,0.7232283178767505,0.909548124298303,0.9168711656441718,0.49883177570093457,0.79745889387145,0.6461305618000031
valid,4,,,,,0.2655152380466461,0.7056364573922915,0.9072756354895527,0.9148311306901615,0.4158878504672897,0.8263473053892215,0.5718219323711063
test,4,,,,,0.2655152380466461,0.7056364573922915,0.9072756354895527,0.9148311306901615,0.4158878504672897,0.8263473053892215,0.5718219323711063
train,5,,,,,0.18779385089874268,0.7556500346251405,0.9274526907958182,0.9304007231093703,0.5153538050734312,0.827354260089686,0.6633014667900141
valid,5,,,,,0.17865993082523346,0.7057154049710991,0.9017263564536355,0.8728448275862069,0.8110814419225634,0.47005988023952094,0.840830444833716
test,5,,,,,0.17865993082523346,0.7057154049710991,0.9017263564536355,0.8728448275862069,0.8110814419225634,0.47005988023952094,0.840830444833716
train,6,,,,,0.18450970947742462,0.7641658110165821,0.9312567790768097,0.9357205752861755,0.5320427236315087,0.8363228699551569,0.6783700347440956
valid,6,,,,,0.19703476130962372,0.7109309418546086,0.9006786274473119,0.8842519685039371,0.7496662216288384,0.5598802395209581,0.8114161800050224
test,6,,,,,0.19703476130962372,0.7109309418546086,0.9006786274473119,0.8842519685039371,0.7496662216288384,0.5598802395209581,0.8114161800050224
train,7,,,,,0.18279026448726654,0.7723513014861868,0.9331267824100457,0.9328914664457332,0.5637516688918558,0.8183856502242153,0.7027982892810755
valid,7,,,,,0.22972367703914642,0.7121511316485853,0.9050778046724596,0.899822695035461,0.677570093457944,0.6616766467065869,0.7730388374450353
test,7,,,,,0.22972367703914642,0.7121511316485853,0.9050778046724596,0.899822695035461,0.677570093457944,0.6616766467065869,0.7730388374450353
train,8,,,,,0.17491117119789124,0.798655930877443,0.9426040335087409,0.9444444444444444,0.5957943925233645,0.8430493273542601,0.7306590210441622
valid,8,,,,,0.17421168088912964,0.710688103099542,0.903809702770482,0.8734896943852167,0.8204272363150867,0.46706586826347307,0.8461273616142008
test,8,,,,,0.17421168088912964,0.710688103099542,0.903809702770482,0.8734896943852167,0.8204272363150867,0.46706586826347307,0.8461273616142008
